ID,Short label,Label,County Name,Population,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19
001,AND,Anderson,Anderson,58199,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.25 ,0.25 ,0.25 ,0.25 ,0.25 ,0.25 ,0.25 ,0.00 ,0.25 ,0.25 ,0.49 ,0.49 ,0.49 ,0.49 ,0.74 ,0.98 ,0.98 ,0.74 ,1.23 ,1.23 ,1.72 ,2.45 ,1.96 ,2.45 ,2.45 ,2.45 ,2.70 ,3.19 ,2.21 ,3.68 ,3.44 ,3.93 ,3.44 ,3.19 ,2.70 ,3.68 ,2.70 ,2.70 ,2.21 ,2.21 ,2.21 ,3.93 ,2.95 ,2.70 ,2.70 ,3.19 ,3.19 ,3.19 ,2.45 ,2.70 ,2.95 ,2.95 ,2.95 ,2.95 ,2.95 ,1.47 ,1.23 ,0.74 ,1.96 ,1.47 ,1.47 ,1.47 ,2.45 ,2.95 ,4.66 ,3.68 ,3.19 ,3.19 ,3.19 ,3.68 ,3.19 ,2.45 ,1.96 ,4.17 ,4.17 ,4.17 ,220.43 ,220.67 ,222.88 ,223.86 ,221.90 ,221.90 ,221.90 ,4.91 ,5.65 ,2.70 ,2.45 ,2.70 ,2.45 ,2.45 ,5.65,6.63,12.03 ,13.50 ,13.01 ,16.20 ,16.20 ,18.66 ,27.49 ,115.37 ,169.12 ,178.21 ,175.26 ,198.33 ,198.58 ,194.41 ,103.83 ,59.40 ,54.25 ,54.25 ,30.68 ,32.89 ,28.96 ,29.70 ,18.16 ,24.30 ,30.19 ,30.68 ,22.34 ,24.55 ,23.32 ,23.81 ,19.64 ,16.94 ,16.94 ,40.50 ,40.99 ,44.92 ,43.94 ,44.92 ,47.37 ,47.37 ,23.56 ,18.90 ,17.92 ,20.62 ,13.75 ,7.85 ,7.85 ,7.61 ,7.85 
003,ANR,Andrews,Andrews,22269,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.64 ,3.85 ,3.85 ,6.42 ,6.42 ,6.42 ,7.06 ,6.42 ,3.21 ,3.85 ,1.92 ,1.92 ,5.77 ,5.13 ,5.13 ,5.13 ,4.49 ,3.85 ,3.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.64 ,0.64 ,1.28 ,1.28 ,1.28 ,1.28 ,1.28 ,0.64 ,0.64 ,0.00 ,0.00 ,0.64 ,0.64 ,0.64 ,0.64 ,0.64 ,0.64 ,0.64 ,0.00 ,0.00 ,0.00 ,0.64 ,0.64 ,1.28 ,3.21 ,3.21 ,3.21 ,3.21 ,2.57 ,2.57 ,1.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.64 ,0.64 ,0.64 ,1.92 ,1.92 ,3.85 ,5.13 ,8.98 ,10.26 ,10.26 ,8.98 ,10.26 ,11.55 ,13.47 ,13.47 ,18.60 ,18.60 ,19.89 ,23.09,24.38 ,21.81 ,22.45 ,19.25 ,19.25 ,17.96 ,24.38 ,27.58 ,26.94 ,36.57 ,42.34 ,42.34 ,42.98 ,34.64 ,28.23 ,31.43 ,20.53 ,12.83 ,12.83 ,17.96 ,24.38 ,25.02 ,21.81 ,20.53 ,23.09 ,23.09 ,19.25 ,12.83 ,14.75 ,24.38 ,23.09 ,19.25 ,26.30 ,25.02 ,23.09 ,22.45 ,15.40 ,15.40 ,26.94 ,19.89 ,23.74 ,23.09 ,19.89 ,25.02 ,37.85 ,26.30 ,26.30 ,21.81 ,26.94 
005,ANG,Angelina,Angelina,90437,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.16 ,0.16 ,0.16 ,0.47 ,0.47 ,0.63 ,0.79 ,0.63 ,1.11 ,1.42 ,1.11 ,1.74 ,1.58 ,1.42 ,1.58 ,1.26 ,0.95 ,0.95 ,0.32 ,0.47 ,0.47 ,0.79 ,1.11 ,1.11 ,1.11 ,1.11 ,1.58 ,2.05 ,1.74 ,1.58 ,2.05 ,2.05 ,2.05 ,3.00 ,3.00 ,3.48 ,3.32 ,3.00 ,3.00 ,3.00 ,5.21 ,5.84 ,6.32 ,7.27 ,7.11 ,7.11 ,7.11 ,6.00 ,4.90 ,4.11 ,4.90 ,6.16 ,6.16 ,6.16 ,5.84 ,5.84 ,7.74 ,6.48 ,5.69 ,5.69 ,5.69 ,3.32 ,6.16 ,5.21 ,4.90 ,4.74 ,4.74 ,4.74 ,6.32 ,6.16 ,4.90 ,4.58 ,5.05 ,5.05 ,5.05 ,3.48 ,7.74 ,7.74 ,12.16 ,11.37 ,11.37 ,11.37 ,14.85 ,11.22 ,11.22 ,9.00 ,11.22 ,11.22 ,11.22 ,13.27 ,11.69 ,14.69 ,15.48 ,13.27 ,13.27 ,13.27 ,9.64 ,12.80,11.69 ,12.16 ,12.16 ,12.16 ,12.16 ,21.17 ,16.27 ,19.90 ,22.43 ,31.91 ,31.91 ,31.91 ,35.38 ,35.38 ,46.60 ,50.07 ,40.60 ,40.60 ,40.60 ,26.22 ,63.19 ,46.44 ,36.96 ,60.50 ,63.98 ,63.98 ,63.98 ,39.96 ,52.44 ,58.76 ,35.23 ,38.23 ,38.23 ,38.23 ,40.75 ,29.86 ,25.75 ,30.01 ,23.54 ,23.54 ,23.54 ,13.11 ,18.01 ,15.80 ,16.11 ,17.38 ,17.38 ,17.38 ,16.11 
007,ARA,Aransas,Aransas,27699,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.52 ,0.52 ,0.52 ,1.03 ,1.03 ,1.03 ,1.03 ,0.52 ,0.52 ,0.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.52 ,0.52 ,0.52 ,0.52 ,0.52 ,0.52 ,1.03 ,1.03 ,1.03 ,1.03 ,1.03 ,1.03 ,1.03 ,0.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.52 ,0.52 ,0.52 ,0.52 ,1.03 ,1.03 ,1.03 ,0.52 ,0.52 ,0.52 ,0.52 ,1.55 ,1.55 ,1.55 ,2.58 ,4.64 ,5.16 ,6.70 ,6.70 ,7.22,9.28 ,9.80 ,9.28 ,9.28 ,11.86 ,10.83 ,11.35 ,10.83 ,9.80 ,8.25 ,10.31 ,6.70 ,6.70 ,9.80 ,13.41 ,15.99 ,18.05 ,18.57 ,18.57 ,25.27 ,23.72 ,20.11 ,17.02 ,15.99 ,16.50 ,17.54 ,12.89 ,12.38 ,11.35 ,18.05 ,19.08 ,15.47 ,15.99 ,13.93 ,11.86 ,13.41 ,8.25 ,8.25 ,9.80 ,8.25 ,9.80 ,12.38 ,10.83 ,9.28 ,8.77 ,7.22 ,7.22 ,5.16 ,4.13 
009,ARC,Archer,Archer,8344,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.71 ,1.71 ,1.71 ,1.71 ,1.71 ,1.71 ,1.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.71 ,1.71 ,1.71 ,1.71 ,3.42 ,3.42 ,3.42 ,1.71 ,1.71 ,1.71 ,1.71 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.71 ,3.42 ,3.42 ,3.42 ,5.14 ,5.14 ,5.14 ,5.14 ,3.42,5.14 ,5.14 ,3.42 ,3.42 ,3.42 ,5.14 ,6.85 ,5.14 ,3.42 ,3.42 ,3.42 ,3.42 ,3.42 ,1.71 ,1.71 ,3.42 ,3.42 ,3.42 ,3.42 ,1.71 ,1.71 ,1.71 ,1.71 ,1.71 ,5.14 ,5.14 ,3.42 ,3.42 ,3.42 ,6.85 ,6.85 ,8.56 ,8.56 ,8.56 ,8.56 ,8.56 ,6.85 ,6.85 ,1.71 ,1.71 ,1.71 ,11.98 ,13.70 ,13.70 ,17.12 ,20.55 ,20.55 ,20.55 ,10.27 
011,ARS,Armstrong,Armstrong,1948,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,0.00 ,0.00 ,0.00 ,0.00 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(7.33),(7.33),(7.33),(7.33),(7.33),0.00 ,0.00 ,7.33 ,7.33 ,7.33 ,7.33 ,7.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.33 ,7.33 ,7.33 ,7.33 ,14.67 ,14.67 ,14.67 ,7.33 ,29.33 ,29.33 ,29.33 ,29.33 ,14.67 ,14.67 ,22.00 ,0.00 ,0.00 ,0.00 ,(7.33),7.33 ,7.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
013,ATA,Atascosa,Atascosa,51831,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.55 ,0.55 ,0.55 ,0.55 ,0.55 ,0.55 ,0.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.28 ,0.55 ,0.83 ,0.83 ,1.38 ,1.65 ,1.93 ,1.65 ,1.38 ,1.10 ,1.10 ,0.55 ,0.55 ,0.28 ,0.83 ,1.38 ,1.38 ,1.38 ,1.38 ,1.10 ,1.10 ,0.55 ,0.55 ,0.55 ,1.38 ,1.38 ,1.38 ,1.38 ,1.38 ,0.83 ,1.38 ,0.83 ,0.83 ,0.83 ,0.83 ,1.38 ,2.20 ,1.65 ,1.38 ,2.20 ,2.20 ,2.20 ,1.65 ,1.38 ,1.38 ,2.20 ,1.38 ,1.38 ,1.38 ,1.38 ,0.83 ,0.83 ,0.00 ,0.00 ,0.00 ,0.55 ,0.55 ,0.55 ,0.55 ,0.83 ,1.65 ,1.65 ,1.38 ,1.38 ,1.38 ,2.20 ,1.38 ,0.55 ,0.28 ,0.00 ,0.00 ,0.00 ,(0.83),0.55 ,5.24 ,7.44 ,7.72 ,7.72 ,10.20 ,11.58 ,11.58 ,6.34 ,4.96 ,5.51 ,5.51 ,7.44 ,6.61,7.99 ,8.54 ,13.23 ,12.40 ,12.40 ,11.58 ,12.13 ,19.84 ,22.33 ,19.84 ,38.59 ,38.59 ,35.00 ,37.76 ,28.66 ,28.39 ,40.79 ,22.05 ,22.05 ,26.18 ,24.81 ,27.01 ,24.81 ,9.92 ,10.47 ,10.47 ,6.34 ,4.69 ,1.65 ,4.13 ,3.86 ,3.31 ,3.31 ,3.31 ,4.69 ,6.34 ,5.51 ,7.99 ,8.82 ,8.82 ,8.82 ,11.85 ,18.74 ,20.40 ,20.67 ,22.05 ,22.05 ,22.05 ,17.36 
015,AUS,Austin,Austin,30402,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.47 ,0.47 ,0.47 ,0.47 ,0.94 ,0.94 ,0.94 ,0.47 ,1.41 ,1.41 ,1.41 ,1.41 ,1.41 ,1.88 ,2.35 ,1.41 ,1.88 ,1.88 ,2.35 ,2.82 ,2.82 ,2.35 ,2.35 ,1.88 ,1.88 ,0.94 ,0.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.47 ,0.94 ,0.94 ,0.94 ,0.94 ,0.47 ,0.94 ,1.41 ,1.88 ,1.88 ,1.88 ,2.35 ,2.35 ,2.35 ,1.88 ,0.94 ,1.41 ,1.41 ,0.94 ,1.88 ,1.41 ,1.88 ,1.88 ,1.88 ,2.35 ,2.35 ,1.41 ,1.41 ,1.88 ,1.88 ,1.41 ,0.94 ,2.35 ,1.88 ,1.88 ,1.88 ,2.35 ,2.35 ,2.35 ,1.88 ,2.82 ,5.17 ,4.23 ,4.23 ,5.17 ,6.58 ,9.40 ,9.40 ,7.05 ,8.46 ,8.46 ,10.34 ,9.87 ,7.05 ,7.05,7.52 ,7.99 ,9.40 ,6.58 ,10.81 ,13.63 ,15.51 ,20.68 ,22.09 ,22.09 ,23.02 ,19.74 ,18.80 ,16.92 ,12.69 ,12.22 ,12.69 ,12.69 ,12.22 ,11.75 ,13.16 ,12.22 ,9.40 ,7.05 ,11.28 ,10.34 ,13.16 ,15.51 ,18.33 ,19.27 ,19.74 ,15.04 ,14.57 ,9.40 ,6.58 ,4.23 ,5.64 ,8.46 ,7.99 ,13.63 ,16.92 ,24.90 ,32.42 ,34.77 ,39.94 ,46.05 ,41.82 ,39.00 ,31.01 
017,BAI,Bailey,Bailey,7692,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.86 ,3.71 ,3.71 ,3.71 ,3.71 ,5.57 ,5.57 ,3.71 ,1.86 ,1.86 ,1.86 ,7.43 ,5.57 ,9.29 ,13.00 ,13.00 ,13.00 ,13.00 ,7.43 ,7.43 ,3.71 ,0.00 ,7.43 ,7.43 ,11.14 ,13.00 ,13.00 ,13.00 ,13.00 ,9.29 ,9.29 ,14.86 ,16.71 ,16.71 ,16.71 ,16.71 ,16.71 ,18.57 ,11.14 ,14.86 ,14.86 ,14.86 ,26.00 ,44.57 ,100.29 ,98.43 ,91.00 ,91.00 ,96.58 ,89.15 ,63.15 ,7.43 ,9.29 ,18.57 ,18.57 ,13.00 ,11.14 ,26.00,26.00 ,26.00 ,16.71 ,16.71 ,16.71 ,26.00 ,16.71 ,18.57 ,18.57 ,18.57 ,18.57 ,18.57 ,7.43 ,5.57 ,11.14 ,13.00 ,14.86 ,14.86 ,24.14 ,26.00 ,26.00 ,20.43 ,16.71 ,18.57 ,22.29 ,13.00 ,11.14 ,27.86 ,37.14 ,42.72 ,48.29 ,48.29 ,48.29 ,48.29 ,33.43 ,33.43 ,31.57 ,26.00 ,24.14 ,24.14 ,24.14 ,29.72 ,24.14 ,22.29 ,24.14 ,29.72 ,29.72 ,29.72 ,37.14 
019,BAN,Bandera,Bandera,21246,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.67 ,0.67 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,2.02 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,0.67 ,0.00 ,0.00 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,1.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.67 ,0.67 ,0.67 ,0.67 ,0.67 ,0.67 ,1.34 ,4.03 ,5.38 ,5.38 ,5.38 ,6.05 ,5.38 ,4.71 ,2.02 ,0.67 ,0.67 ,0.67 ,0.00 ,4.03,4.71 ,4.71 ,7.40 ,7.40 ,7.40 ,7.40 ,4.03 ,7.40 ,10.09 ,11.43 ,11.43 ,11.43 ,11.43 ,12.78 ,9.41 ,6.05 ,2.02 ,2.69 ,2.69 ,4.71 ,5.38 ,6.05 ,6.05 ,12.78 ,15.47 ,15.47 ,13.45 ,16.14 ,15.47 ,18.15 ,11.43 ,8.07 ,8.07 ,8.07 ,3.36 ,6.72 ,4.03 ,4.03 ,5.38 ,5.38 ,5.38 ,6.05 ,2.69 ,4.03 ,6.05 ,6.05 ,6.05 ,6.05 ,5.38 
